# 27GHz 39GHz 93GHz 145GHz 225GHz 280GHz
-0.003054501935484923 -0.002303643828186464 0.6468529504573916 0.469532541343126 -0.050330039689877065 -0.060697306346969085 
-0.003729336150502582 0.0006206949621698539 0.6363487931246512 0.4715029751364489 -0.04300886917051433 -0.06173425790225311 
-0.0036535585261544246 -0.0027059986909133537 0.6339329905717719 0.47771383609894424 -0.04138543184773527 -0.063901837605913 
-0.004363715274709183 -0.0005642786964638476 0.6377254709971093 0.4727666388869751 -0.04302744079805514 -0.06253667511485617 
-0.0037220530290721504 0.0009600685540819228 0.6132544863266923 0.49728349203718225 -0.04460252003438203 -0.06317347385450235 
-0.0038087495479558384 -0.0005105140236885718 0.6570473111311323 0.46255209845538103 -0.05964610913586724 -0.05563403687900189 
-0.004918884311067584 0.0033786051054406872 0.6390361881458226 0.4744983819772151 -0.052651070245994885 -0.05934322067141611 
-0.004324145721344357 -0.0007729702360733873 0.6581076446101216 0.4598929868810477 -0.0550147338634491 -0.0578887816703025 
-0.004162215839227401 0.0005845308114700793 0.6406107188702372 0.46780204590636826 -0.04294074378031346 -0.06189433596853495 
-0.0031040658811341566 -0.0008059057956372547 0.6316041738050574 0.47683118025313675 -0.03960082821502689 -0.06492455416639589 
-0.0028351049843746727 -0.0015695131209928453 0.6678441358033493 0.4474318035917734 -0.05258874318816197 -0.05828257810159322 
-0.003928477735312619 0.0021703098161325813 0.6295337820480815 0.4815814703103133 -0.04785503344748919 -0.061502050991725635 
-0.004176335426083747 -0.0010345058930295897 0.6581135255774373 0.4591148879076479 -0.054998747565974664 -0.057018824599997395 
-0.004351331521071718 0.0008859717263008779 0.6457968699636673 0.4723113838640558 -0.057250345799350365 -0.05739254823360193 
-0.0032050739118913182 -0.0012655322409029532 0.6350500574858177 0.4855172212283244 -0.05666349018318369 -0.05943318237816414 
-0.004524605517850601 -0.0015919467448894428 0.6327366503850939 0.4826977518150384 -0.04990845652446972 -0.05940939341292229 
-0.0036186535666374313 -0.0007593916725107808 0.6329447673852131 0.4863513687820771 -0.05433747003442765 -0.06058062089371421 
-0.0038796910359940344 -0.0028530749451918663 0.6419847332050659 0.4706002488626599 -0.04323705263766621 -0.06261516344887366 
-0.004209223896597845 0.0007147134842006681 0.6256278926440388 0.48844047887318826 -0.049644596983813294 -0.06092926412101668 
-0.003681714808083254 -0.0011931187817116637 0.6447626695811713 0.47222064284544907 -0.0527034506095066 -0.05940502822731883 
-0.0034611516704263737 -0.0031904090864036355 0.6381498819353497 0.478160331617255 -0.049747550533927 -0.05991110226184789 
-0.0040180175116420235 0.00022287487990179245 0.6563728207077252 0.4591204302951161 -0.05288740076173433 -0.0588107076093669 
-0.00367117850755064 -0.0008188581433603229 0.6574520439840968 0.45809608736626156 -0.052984007905604806 -0.058074086793842815 
-0.0029964950498150744 -0.0032183013267582435 0.6523593031662542 0.46346790777924235 -0.04761084238397756 -0.062001572184945834 
-0.003975015135972935 -0.0005911292131017346 0.6296242370501175 0.48610248455538674 -0.05020201254787101 -0.060958564708558545 
-0.004482785073627373 -0.00021930765168691517 0.6427410881595758 0.4775144384296482 -0.05717430852857294 -0.0583791253353368 
-0.0033199772109119125 -0.0021590276909119366 0.6403733672175017 0.47742662631189503 -0.053600812767899415 -0.05872017585967354 
-0.0037896956366098057 -0.0016027748164980174 0.6443042029424625 0.4730929072502666 -0.05327315080626064 -0.05873148893336055 
